"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77"
49,2013-02-26,2013,"201302","20130226",224.5,225,224.75,225.25,224.75,225.25,224.5,224.25,225,224.5,225,225.25,225,223.5,224.5,226.5,226.5,226.5,226.5,226.75,227,226,225.25,226,224.5,225,225,224.75,224.75,225.75,224.5,224.25,225,224.5,225.25,225.25,225.25,223.75,224.75,226.5,226.5,226.5,226.5,226.75,227,226.25,225.25,226,224.75,225.5,225.5,225.75,225,225.75,224.75,225.25,225.5,225.5,225.75,226,225.75,224.75,225.25,227,227,227.25,226.75,227.25,227.5,226.75,226.25,226.25
49,2013-02-27,2013,"201302","20130227",226.25,227,227,227.25,227,227,226.5,225.75,225,227,227,227,225,223.25,224,224.5,225,224.25,224,224,224.25,224.25,224,224,226.5,227,227,227.25,227,227.25,226.5,226.25,225,227,227.25,227.25,225.25,223.5,224,224.5,225,224.25,224,224.25,224.75,224.5,224,224.5,226.75,227.25,227.25,227.75,227.5,227.75,227,226.75,225.75,227.75,227.75,227.5,225.5,224.25,224.75,225.5,225.75,225.25,225,225,225.75,225,225,225
49,2013-02-28,2013,"201302","20130228",225,225.5,225.25,225.25,225.5,225.25,224.75,224,225.5,226,226,226.25,224.25,226,227.5,227.5,227.25,227.25,227,225.75,224.25,224,224,223,225,225.5,225.25,225.25,225.75,225.5,225,223.75,225.75,226.25,225.75,226.5,224.25,226,227.5,227.25,227.25,227.5,227,225.75,224.25,224.25,224,223.25,225.25,225.75,225.75,225.5,226,225.75,225.25,224.5,226.25,226.75,226.25,226.75,225,226.25,228,228,228,228,228,226.5,224.75,225,224.25,223.25
49,2013-03-01,2013,"201303","20130301",223.25,223.5,223.5,224,223.5,223.75,223,223.75,226.25,227.5,227,226.75,223.75,225,227.25,230.75,228.75,225,224,223.75,224,224.25,223.75,222.5,223.25,223.75,223.5,224,223.5,224,223.25,224,226.25,227.25,227,227,224.5,225.25,227.5,230.75,228.75,225,224,223.75,224,224.75,223.75,223.25,223.5,224.25,224,224,224,224.25,223.75,224.5,227,228,227.25,227.5,224.75,226,227.75,231,229,225,224.25,224,224.5,225.25,224.25,223.25
49,2013-03-02,2013,"201303","20130302",222.75,223.5,224,223.5,224,223.75,224,224.75,224.5,222.75,222.5,222.25,222.5,224.75,226,226.5,226.5,226.25,226,226,226,226,225.75,225.25,223,223.5,224,223.75,224,223.75,224,225,224.5,222.75,222.5,222.5,222.75,224.75,226,226.25,226.5,226.5,225.75,226.25,226,226.25,226,225.75,223.25,223.75,224.25,223.75,224,224,224.75,225.75,225,223,223,222.75,222.75,225.25,226.5,226.75,227,226.75,226.5,226.25,226.75,227,226.25,226
49,2013-03-03,2013,"201303","20130303",225.75,226.25,226.5,226.5,227,226.75,227,227,224.5,223.25,223.25,223.25,223.25,225.25,226,226.75,226.75,226.75,226.5,226,226,226,226.75,227,226,226,226.5,227,227.25,227,227,226.75,224.75,223.5,223.25,223.25,223.5,225.25,226,227,226.75,227,226.25,226,226,226.5,226.75,226.75,226.25,226.5,226.75,226.75,227.25,227.25,227.5,227.5,225,224,223.75,223.75,223.75,226,226.75,227,227.25,227,227,227,227,227,227.5,227.5
49,2013-03-04,2013,"201303","20130304",227,227.5,227.75,227.666666666667,227.5,227,226.5,227,226,225.25,225,225.5,223.25,225,226.25,226.5,227,227,223.75,223,223.25,223.25,223.75,223.5,227,227.5,227.75,227.666666666667,227.5,227.25,226.5,227.25,225.75,225.25,225,225.25,223.5,225,226.5,226.25,226.5,227,224,223,223.5,223.5,223.75,224,227.25,227.75,228,228,227.75,227.75,227,228,226.25,226,226.25,226.25,224,225.5,227,226.75,227.75,227.25,225,224,224,224.25,224,223.75
49,2013-03-05,2013,"201303","20130305",223.5,224.5,224.5,224,224.5,224.25,223.75,224.25,226,225.75,226.5,226,224,224.75,226.5,226.75,227,227,226.75,226.5,226.75,227.25,227,224.25,224,224.25,224.75,224,224.5,224.25,223.75,224.25,226.25,226,226.25,226,224,225,226.5,226.75,226.75,227,227,226.5,227.25,227.5,227.25,224.25,224.25,224.75,224.75,224.25,225,224.25,224.25,224.75,227,227,226.75,226.75,224.25,225.5,227.25,227.75,227.5,227.75,227.25,227.25,227.5,228,227.75,224.75
49,2013-03-06,2013,"201303","20130306",223.75,224.25,224.5,224.25,224.5,225,224,225,226.25,225.75,225.75,226,223.75,225,226.75,226.5,226.75,227,227,227.25,225.75,224,223.75,223,223.75,224.5,224.5,224.75,224.75,225,224.25,225.5,226.5,226,225.75,226,224,225,226.75,226.25,226.75,227.25,227,227.25,225.75,224.25,224,223.25,224.5,225,225,224.75,225,225.5,224.75,226,226.75,226.25,226,227,224.5,225.25,227.25,227.5,227.5,227.5,228,228.25,226.75,224.5,224.25,223.5
49,2013-03-07,2013,"201303","20130307",223,224,224,224,225,225,225,224,224,223,224,224,224,222,227,226,226,227,227,226,227,227,227,228,223,224,224,224,224,225,225,225,224,223,224,224,224,222,227,225,227,227,227,226,227,227,227,228,224,224,224,224,225,225,225,225,225,224,224,224,225,223,227,226,227,227,228,227,228,228,228,228
