"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29"
49,2013-01-29,2013,"201301","20130129",6725.52,6725.6175,6725.6875,6725.7525,6725.815,6725.8775,6725.96,6726.05,6726.185,6726.3325,6726.4525,6726.5625,6726.66,6726.765,6726.8625,6726.96,6727.06,6727.18,6727.345,6727.545,6727.755,6727.9575,6728.165,6728.355
49,2013-01-30,2013,"201301","20130130",6728.505,6728.6,6728.67,6728.725,6728.79,6728.8475,6728.9125,6729.0075,6729.135,6729.2925,6729.42,6729.545,6729.65,6729.755,6729.8475,6729.93,6730.03,6730.17,6730.34,6730.5175,6730.7075,6730.9225,6731.1325,6731.3075
49,2013-01-31,2013,"201301","20130131",6731.43,6731.515,6731.58,6731.6375,6731.695,6731.755,6731.82,6731.91,6732.0425,6732.21,6732.345,6732.4575,6732.56,6732.67,6732.7625,6732.8525,6732.955,6733.0875,6733.2675,6733.475,6733.66,6733.855,6734.045,6734.2325
49,2013-02-01,2013,"201302","20130201",6734.365,6734.465,6734.5375,6734.6,6734.66,6734.7225,6734.795,6734.8925,6735.0175,6735.145,6735.26,6735.3675,6735.475,6735.58,6735.675,6735.76,6735.8425,6735.965,6736.1225,6736.3,6736.495,6736.7075,6736.915,6737.1025
49,2013-02-02,2013,"201302","20130202",6737.2575,6737.37,6737.4475,6737.515,6737.575,6737.635,6737.715,6737.805,6737.9175,6738.0825,6738.225,6738.3525,6738.465,6738.5875,6738.695,6738.8025,6738.915,6739.05,6739.21,6739.4125,6739.635,6739.865,6740.09,6740.2975
49,2013-02-03,2013,"201302","20130203",6740.445,6740.555,6740.64,6740.7075,6740.77,6740.83,6740.9,6740.9875,6741.0925,6741.2425,6741.4125,6741.57,6741.725,6741.8675,6742,6742.1275,6742.265,6742.4325,6742.6325,6742.84,6743.0575,6743.28,6743.4975,6743.7075
49,2013-02-04,2013,"201302","20130204",6743.8725,6743.985,6744.08,6744.145,6744.205,6744.26,6744.3325,6744.425,6744.575,6744.74,6744.8825,6745.005,6745.125,6745.24,6745.3475,6745.45,6745.5625,6745.6925,6745.8475,6746.045,6746.245,6746.46,6746.66,6746.8475
49,2013-02-05,2013,"201302","20130205",6746.9925,6747.1075,6747.1875,6747.2575,6747.3225,6747.385,6747.47,6747.56,6747.69,6747.845,6747.97,6748.1075,6748.24,6748.3675,6748.4825,6748.5875,6748.6975,6748.8325,6749.0075,6749.215,6749.4225,6749.63,6749.8575,6750.065
49,2013-02-06,2013,"201302","20130206",6750.2125,6750.325,6750.4075,6750.465,6750.525,6750.585,6750.655,6750.7525,6750.8925,6751.0525,6751.19,6751.315,6751.435,6751.5475,6751.6475,6751.745,6751.85,6751.9875,6752.1425,6752.335,6752.5275,6752.745,6752.9575,6753.1525
49,2013-02-07,2013,"201302","20130207",6753.3025,6753.4,6753.4725,6753.535,6753.5975,6753.66,6753.735,6753.835,6753.9875,6754.1325,6754.255,6754.385,6754.5125,6754.635,6754.7475,6754.865,6754.9925,6755.14,6755.3075,6755.4825,6755.6675,6755.8925,6756.0975,6756.2875
49,2013-02-08,2013,"201302","20130208",6756.435,6756.54,6756.6125,6756.675,6756.74,6756.8,6756.8775,6756.9675,6757.0925,6757.2375,6757.3725,6757.495,6757.6225,6757.745,6757.855,6757.965,6758.085,6758.2275,6758.4225,6758.63,6758.86,6759.0925,6759.3325,6759.54
