,0,246,254,1,1,3005,1669,1.01078,0.134849,3级越限
,0,246,254,1,1,3005,1669,1.01078,0.134849,3级越限
3005->8310,0,246,565,1,1,3005,8310,-0.000631057,-0.0910412,3级越限
3005->7286,0,246,540,1,1,3005,7286,0.730916,-0.053771,3级越限
2496->1390,0,8,89,1,1,2496,1390,-1.13303,2.05741,3级越限
2496->1390,0,8,89,1,1,2496,1390,-1.13303,2.05741,3级越限
2496->3488,0,8,329,1,1,2496,3488,6.7453,-2.64418,3级越限
2496->3488,0,8,329,1,1,2496,3488,6.7453,-2.64418,3级越限
,0,8,7,1,1,2496,189,-9.13715,3.19272,3级越限
,0,8,7,1,1,2496,189,-9.13715,3.19272,3级越限
2496->240,0,8,376,1,1,2496,240,15.2247,-7.0393,3级越限
2496->240,0,8,376,1,1,2496,240,15.2247,-7.0393,3级越限
,0,8,364,1,1,2496,3793,-9.60388,1.41208,3级越限
,0,8,364,1,1,2496,3793,-9.60388,1.41208,3级越限
,0,568,245,1,1,8316,3166,-0.253972,0.0108822,3级越限
,0,467,369,1,1,6843,3841,0.0130529,0.0315812,3级越限
,0,16,15,1,1,325,886,-8.67202,-0.648078,3级越限
,0,16,15,1,1,325,886,-8.67202,-0.648078,3级越限
1921->2056,0,21,22,1,1,1921,2056,-0.893761,-0.00482736,3级越限
1921->3595,0,21,338,1,1,1921,3595,0.327742,0.246509,3级越限
1921->616,0,21,90,1,1,1921,616,-0.230235,-0.101589,3级越限
1921->3212,0,21,84,1,1,1921,3212,-0.940367,-0.0798161,3级越限
1921->3040,0,21,273,1,1,1921,3040,2.07085,-0.08367,3级越限
1921->3040,0,21,273,1,1,1921,3040,2.07085,-0.08367,3级越限
,0,204,205,1,1,2363,2315,-0.5246,0.114832,3级越限
,0,204,80,1,1,2363,1403,0.524595,-0.114832,3级越限
7499->7502,0,546,547,1,1,7499,7502,0.183346,0.0364461,3级越限
,0,531,59,1,1,6877,1233,-0.0681939,-0.00104936,3级越限
,0,531,59,1,1,6877,1233,-0.0681939,-0.00104936,3级越限
6706->6710,0,506,507,1,1,6706,6710,-0.124427,-0.0189315,3级越限
6621->2690,0,497,256,1,1,6621,2690,0.150718,-0.13047,3级越限
,0,497,123,1,1,6621,2102,-0.767742,0.187329,3级越限
9127->3958,0,596,432,1,1,9127,3958,0.352888,-0.0615368,3级越限
,0,363,362,1,1,2415,3790,-0.0386787,-0.0245282,3级越限
,0,309,277,1,1,10903,2699,-1.09692,-0.0700602,3级越限
,0,309,277,1,1,10903,2699,-1.09692,-0.0700602,3级越限
,0,256,497,1,1,2690,6621,-0.150514,0.0869973,3级越限
,0,256,470,1,1,2690,5752,-0.45242,0.0834663,3级越限
2690->3406,0,256,324,1,1,2690,3406,0.107839,-0.334665,3级越限
,0,256,255,1,1,2690,481,-0.251823,0.0893569,3级越限
,0,231,233,1,1,2630,2087,0.187532,-0.26176,3级越限
,0,231,233,1,1,2630,2087,0.187532,-0.26176,3级越限
2630->972,0,231,232,1,1,2630,972,-0.459092,0.215546,3级越限
2630->972,0,231,232,1,1,2630,972,-0.459092,0.215546,3级越限
,0,433,432,1,1,3523,3958,-0.987478,0.0014833,3级越限
,0,433,432,1,1,3523,3958,-0.987478,0.0014833,3级越限
,0,433,432,1,1,3523,3958,-0.987478,0.0014833,3级越限
4921->1588,0,424,18,1,1,4921,1588,1.23979,0.12088,3级越限
,0,424,17,1,1,4921,488,0.557649,0.198919,3级越限
